,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
56,Ixtapa,20,MX,1567041392,34,20.71,-105.21,93.2,10.29
57,Hilo,40,US,1567041393,62,19.71,-155.08,87.8,9.17
58,Komsomolskiy,100,RU,1567041394,81,67.55,63.78,37.13,13.56
59,Bredasdorp,0,ZA,1567041395,80,-34.53,20.04,41.63,4.9
60,Port Alfred,38,ZA,1567041397,80,-33.59,26.89,52.0,5.01
61,Mataura,100,NZ,1567041398,74,-46.19,168.86,48.0,15.01
62,Marystown,33,CA,1567041399,89,47.17,-55.16,58.37,10.02
63,Haines Junction,1,CA,1567041401,36,60.75,-137.51,58.37,4.54
64,Ojinaga,1,US,1567041402,26,29.56,-104.41,91.4,12.75
65,Khatanga,30,RU,1567041403,74,71.98,102.47,52.79,12.03
66,Chokurdakh,70,RU,1567041404,62,70.62,147.9,36.77,9.17
67,Port Moresby,40,PG,1567041406,78,-9.47,147.16,80.6,19.46
68,Ust-Koksa,0,RU,1567041407,57,50.27,85.62,49.55,5.03
69,Mount Gambier,90,AU,1567041273,71,-37.83,140.78,50.0,8.05
70,Desaguadero,71,PE,1567041409,32,-16.56,-69.04,41.27,3.85
71,Lakselv,37,NO,1567041411,93,70.05,24.96,57.2,17.22
72,San Patricio,0,PY,1567041412,54,-26.98,-56.83,71.51,4.81
73,Kavaratti,100,IN,1567041413,78,10.57,72.64,82.67,19.15
74,Bayir,0,TR,1567041414,78,37.27,28.22,73.4,0.25
75,Klaksvik,36,FO,1567041415,93,62.23,-6.59,50.0,9.17
76,Amapa,75,HN,1567041185,74,15.09,-87.97,84.2,16.11
77,Guerrero Negro,99,MX,1567041418,83,27.97,-114.04,70.79,15.64
78,Port Hardy,40,CA,1567041304,87,50.7,-127.42,59.0,6.93
79,Parkersburg,1,US,1567041420,82,39.27,-81.55,68.0,3.36
80,Saint-Pierre,0,FR,1567041422,88,48.95,4.24,69.8,5.82
81,Bathsheba,20,BB,1567041290,78,13.22,-59.52,82.4,10.29
82,Buraydah,0,SA,1567041186,27,26.33,43.97,86.0,9.17
83,Ahipara,1,NZ,1567041425,80,-35.17,173.16,63.0,9.08
84,Evensk,79,RU,1567041426,73,61.92,159.24,57.29,4.29
85,Praia,0,BR,1567041428,55,-20.25,-43.81,64.4,5.82
86,Pingliang,0,CN,1567041269,58,35.54,106.68,61.79,3.87
87,Vila Franca do Campo,40,PT,1567041430,94,37.72,-25.43,71.01,9.17
88,Vayalar,75,IN,1567041431,100,9.7,76.33,75.2,4.7
89,Berberati,90,CF,1567041432,94,4.26,15.79,67.55,3.11
90,Camacha,20,PT,1567041434,64,33.08,-16.33,71.6,6.93
91,Sochaczew,0,PL,1567041435,93,52.23,20.24,73.0,5.82
92,Tuy Hoa,100,VN,1567041302,94,13.08,109.3,74.57,5.21
93,New Norfolk,20,AU,1567041437,57,-42.78,147.06,53.01,10.29
94,Thompson,75,CA,1567041439,62,55.74,-97.86,55.4,9.17
95,Bambous Virieux,75,MU,1567041440,88,-20.34,57.76,71.01,8.05
96,Acapulco,5,MX,1567041441,70,16.86,-99.88,87.8,5.82
97,College,75,US,1567041442,67,64.86,-147.8,59.0,11.41
98,Ginda,75,IN,1567041444,88,30.69,78.49,80.6,4.7
99,Aksu,0,KZ,1567041445,66,52.04,76.93,55.4,17.9
100,Tiznit,45,MA,1567041446,87,29.7,-9.73,67.55,1.7
101,Puerto Ayora,20,EC,1567041447,69,-0.74,-90.35,77.0,12.75
102,Angren,0,UZ,1567041448,42,41.01,70.08,61.25,1.28
103,Manavalakurichi,40,IN,1567041450,88,8.13,77.3,78.8,3.36
104,Collie,0,AU,1567041451,61,-33.36,116.15,64.99,10.18
105,Ola,94,RU,1567041452,88,59.58,151.3,52.25,4.07
106,Geraldton,90,CA,1567041191,81,49.72,-86.95,53.6,6.93
107,Qaanaaq,100,GL,1567041455,97,77.48,-69.36,34.25,12.19
108,Cherskiy,100,RU,1567041456,80,68.75,161.3,39.83,15.95
109,Hofn,99,IS,1567041186,98,64.25,-15.21,37.31,1.43
110,Touros,40,BR,1567041458,78,-5.2,-35.46,75.2,9.17
111,Butaritari,94,KI,1567041460,72,3.07,172.79,83.57,10.0
112,Praia da Vitoria,75,PT,1567041461,82,38.73,-27.07,68.0,11.07
113,Airai,16,TL,1567041462,28,-8.93,125.41,78.71,1.19
114,Carnarvon,0,ZA,1567041463,41,-30.97,22.13,40.37,7.85
115,Saint-Philippe,90,CA,1567041465,94,45.36,-73.48,68.0,3.36
116,Richards Bay,100,ZA,1567041466,82,-28.77,32.06,64.85,17.13
117,Leningradskiy,100,RU,1567041467,96,69.38,178.42,41.27,19.73
118,Leh,31,IN,1567041468,59,34.16,77.58,46.85,4.03
119,Lokosovo,25,RU,1567041470,95,61.13,74.84,38.75,5.93
120,Narasannapeta,100,IN,1567041471,84,18.42,84.04,78.71,2.15
121,Dudinka,40,RU,1567041472,81,69.41,86.18,53.6,2.24
122,Nanortalik,41,GL,1567041473,89,60.14,-45.24,41.45,2.3
123,Barrow,79,AR,1567041474,87,-38.31,-60.23,60.89,2.86
124,Batemans Bay,99,AU,1567041476,53,-35.71,150.18,57.99,5.99
125,Ilulissat,23,GL,1567041477,80,69.22,-51.1,39.2,2.24
126,Viseu,0,PT,1567041478,93,40.66,-7.91,66.99,1.12
127,Sines,100,PT,1567041479,88,37.96,-8.87,62.01,5.01
128,Atkinson,1,US,1567041481,72,41.42,-90.02,73.4,4.7
129,Ribeira Grande,17,PT,1567041482,73,38.52,-28.7,68.99,11.43
130,Vardo,1,US,1567041483,94,39.62,-77.74,72.0,1.97
131,Loreto,0,PY,1567041484,38,-23.27,-57.32,79.79,4.83
132,Mulege,49,MX,1567041486,69,26.88,-111.98,87.71,10.42
133,Bluff,11,AU,1567041487,57,-23.58,149.07,68.81,5.39
134,Mujiayingzi,45,CN,1567041488,68,42.12,118.78,54.77,15.28
135,Castro,40,CL,1567041489,87,-42.48,-73.76,42.8,6.93
136,Alpena,90,US,1567041385,93,45.06,-83.43,64.4,9.17
137,Seoul,90,KR,1567041492,83,37.57,126.98,77.0,9.17
138,Dikson,100,RU,1567041493,97,73.51,80.55,42.35,14.7
139,Turayf,0,SA,1567041494,37,31.68,38.65,82.4,6.93
140,Faya,0,SA,1567041495,45,18.39,42.45,66.2,2.68
141,Teya,40,MX,1567041497,70,21.05,-89.07,84.2,17.22
142,Dunedin,100,NZ,1567041440,78,-45.87,170.5,45.0,21.99
143,Poro,50,NC,1567041499,57,-21.3,165.71,74.39,6.13
144,Soe,0,EE,1567041500,82,57.91,26.05,59.0,2.24
145,Saskylakh,100,RU,1567041501,67,71.97,114.09,47.39,9.84
146,Paita,16,PE,1567041503,92,-5.09,-81.11,61.43,10.98
147,Jamestown,0,AU,1567041271,60,-33.21,138.6,46.13,10.36
148,Sorland,54,NO,1567041505,69,67.67,12.69,62.87,19.69
149,Bystryy Istok,1,RU,1567041506,81,52.37,84.39,54.95,4.03
150,Hithadhoo,74,MV,1567041507,76,-0.6,73.08,83.39,12.1
151,Tuktoyaktuk,90,CA,1567041509,80,69.44,-133.03,41.0,18.34
152,Sola,8,TZ,1567041510,82,-3.17,33.8,65.21,6.64
153,Buribay,95,RU,1567041511,78,51.96,58.16,50.09,7.65
154,Paamiut,0,GL,1567041512,64,61.99,-49.67,45.77,27.18
155,Santa Maria,0,BR,1567041514,49,-16.02,-48.01,71.6,8.05
156,Berga,46,ES,1567041515,83,42.1,1.85,73.0,1.12
157,Sharjah,0,AE,1567041516,24,25.36,55.39,95.0,4.7
158,Hobyo,32,SO,1567041517,80,5.35,48.53,74.21,22.5
159,Marawi,94,PH,1567041519,66,8.0,124.29,84.0,3.0
160,Naze,66,NG,1567041520,97,5.43,7.07,72.05,1.9
161,Tasiilaq,0,GL,1567041521,86,65.61,-37.64,39.2,1.66
162,Chuy,0,UY,1567041405,94,-33.69,-53.46,60.17,10.54
163,Tarancon,0,ES,1567041523,68,40.01,-3.01,78.01,6.93
164,Agua Verde,5,MX,1567041525,66,22.89,-105.97,89.6,8.05
165,Meulaboh,100,ID,1567041325,85,4.14,96.13,79.97,9.51
166,San Andres,100,PH,1567041434,84,13.32,122.68,80.69,10.16
167,Ponta do Sol,100,BR,1567041529,51,-20.63,-46.0,63.95,3.8
168,Innisfail,37,AU,1567041530,55,-17.52,146.03,75.0,3.0
169,Henties Bay,0,NA,1567041531,88,-22.12,14.28,51.01,11.83
170,Mar del Plata,0,AR,1567041529,44,-46.43,-67.52,43.79,19.39
171,Valdemarpils,0,LV,1567041533,82,57.37,22.59,64.4,5.82
172,Krasnoarmeysk,0,RU,1567041535,93,56.12,38.15,52.0,2.24
173,Petropavlovsk-Kamchatskiy,0,RU,1567041536,56,53.05,158.65,68.0,8.95
174,Corner Brook,75,CA,1567041537,81,48.95,-57.95,59.0,16.11
175,Sulangan,96,PH,1567041538,71,11.14,123.72,81.05,0.65
176,Rio Grande,1,BR,1567041540,93,-32.03,-52.1,62.01,8.05
177,Formosa,94,BR,1567041541,52,-15.55,-47.33,68.63,6.69
178,Havre-Saint-Pierre,40,CA,1567041542,82,50.23,-63.6,59.0,9.17
179,Novaya Lyalya,100,RU,1567041544,98,59.05,60.6,42.89,10.49
180,Waycross,75,US,1567041371,83,31.21,-82.35,84.2,5.91
181,Moramanga,59,MG,1567041546,96,-18.95,48.23,48.11,1.45
182,Fort Nelson,40,CA,1567041547,40,58.81,-122.69,68.0,4.7
183,Tepoztlan,75,MX,1567041549,65,18.98,-99.1,78.8,5.82
184,Bodden Town,40,KY,1567041550,74,19.28,-81.25,87.8,9.17
185,Sechura,45,PE,1567041551,87,-5.56,-80.82,61.97,10.54
186,Diamantino,99,BR,1567041552,29,-14.4,-56.44,84.83,3.27
187,Souillac,0,FR,1567041553,87,45.6,-0.6,62.6,1.12
188,Rafai,26,CF,1567041555,95,4.95,23.92,67.73,1.32
189,San Cristobal,13,HN,1567041556,51,14.68,-86.92,74.93,7.45
190,Hasaki,75,JP,1567041557,74,35.73,140.83,86.0,12.75
191,Torbay,90,CA,1567041558,100,47.66,-52.73,59.0,8.05
192,Santa Lucia,0,IT,1567041560,73,41.98,12.66,75.99,4.7
193,Gornopravdinsk,100,RU,1567041561,79,60.06,69.92,45.23,4.0
194,Vestmanna,17,FO,1567041562,93,62.16,-7.17,50.0,9.17
195,Makakilo City,75,US,1567041563,49,21.35,-158.09,89.6,8.05
196,Marsh Harbour,36,BS,1567041565,67,26.54,-77.06,84.83,3.2
197,Isangel,40,VU,1567041566,54,-19.55,169.27,82.4,12.75
198,Sire,94,ET,1567041567,82,8.28,39.49,60.17,3.38
199,Bama,95,CN,1567041568,86,24.14,107.25,77.27,4.25
200,Saint George,0,GR,1567041570,40,39.45,22.34,73.4,0.58
201,Manzhouli,3,CN,1567041571,73,49.6,117.43,57.83,8.75
202,Mayo,75,CA,1567041572,42,63.59,-135.9,62.6,9.17
203,Fort-Shevchenko,0,KZ,1567041573,60,44.51,50.26,69.35,24.16
204,Margate,20,AU,1567041574,57,-43.03,147.26,54.0,10.29
205,Nisia Floresta,20,BR,1567041576,78,-6.09,-35.21,75.2,11.41
206,Merrill,1,US,1567041577,27,42.03,-121.6,87.01,13.87
207,Arraial do Cabo,75,BR,1567041578,88,-22.97,-42.02,64.4,4.7
208,Vila Velha,0,BR,1567041580,69,-3.71,-38.6,80.6,13.87
209,Isabela,97,PH,1567041581,79,10.2,122.99,81.77,14.38
210,Nalut,0,LY,1567041582,33,31.86,10.98,81.23,7.63
211,Khandyga,100,RU,1567041583,52,62.65,135.58,60.89,12.12
212,Moissala,100,TD,1567041585,96,8.34,17.77,70.43,2.59
213,Fairbanks,75,US,1567041394,67,64.84,-147.72,57.99,11.41
214,Ancud,40,CL,1567041587,87,-41.87,-73.83,42.8,6.93
215,Zunyi,76,CN,1567041588,88,27.73,106.92,70.79,3.53
216,Jati,100,PK,1567041589,80,24.35,68.27,82.49,5.35
217,Gat,20,SN,1567041591,88,14.69,-16.54,82.4,5.82
218,Nhulunbuy,20,AU,1567041592,50,-12.18,136.78,77.0,24.16
219,Coquimbo,0,CL,1567041593,93,-29.95,-71.34,53.6,6.17
220,Senneterre,75,CA,1567041594,49,48.39,-77.24,68.0,9.17
221,Batagay,1,RU,1567041596,53,67.65,134.64,45.95,5.48
222,Ust-Omchug,97,RU,1567041597,82,61.13,149.63,46.13,7.23
223,Mao,20,DO,1567041598,69,19.55,-71.08,84.2,9.17
224,Muscat,0,OM,1567041599,74,23.6,58.55,82.4,2.24
225,Garden City,1,US,1567041600,11,43.62,-116.24,98.01,5.82
226,Yeppoon,20,AU,1567041602,53,-23.13,150.74,73.4,3.36
227,Brejo,88,BR,1567041603,72,-3.68,-42.75,76.73,6.15
228,Rorvik,100,NO,1567041604,68,64.86,11.24,72.0,5.01
229,Vanavara,100,RU,1567041605,95,60.35,102.28,55.31,2.08
230,Dwarka,40,IN,1567041607,83,28.58,77.04,84.2,4.7
231,Shimoda,75,JP,1567041608,88,34.7,138.93,88.0,16.11
232,Punta Alta,0,AR,1567041609,65,-27.46,-55.82,77.0,2.24
233,Sakaiminato,75,JP,1567041611,94,35.55,133.23,75.2,5.82
234,Pekalongan,92,ID,1567041612,75,-6.89,109.67,73.85,3.71
235,Labuhan,83,ID,1567041613,65,-2.54,115.51,76.55,0.69
236,Pisco,0,PE,1567041614,82,-13.71,-76.2,60.8,9.17
237,Berezovka,43,RU,1567041616,81,55.71,42.61,45.59,4.63
238,Porto Walter,28,BR,1567041549,65,-8.27,-72.74,77.99,1.88
239,Tiarei,20,PF,1567041618,69,-17.53,-149.33,82.4,18.34
240,Bafq,0,IR,1567041619,18,31.6,55.4,62.69,1.52
241,Atar,20,MR,1567041621,44,20.52,-13.05,89.69,14.92
242,Krasnyy Kut,0,RU,1567041622,56,47.1,40.67,55.85,10.56
243,Dalbandin,1,PK,1567041623,11,28.9,64.41,79.43,8.57
244,Umea,57,SE,1567041624,100,63.83,20.26,50.0,5.46
245,Hay River,20,CA,1567041626,40,60.82,-115.79,68.0,3.36
246,Fukue,75,JP,1567041362,88,35.03,136.69,82.4,4.7
247,Kluang,75,MY,1567041628,94,2.04,103.32,77.0,1.12
248,Ambovombe,0,MG,1567041629,80,-25.18,46.09,71.87,15.12
249,Mount Isa,0,AU,1567041630,22,-20.73,139.49,64.4,13.87
250,Provideniya,90,RU,1567041632,87,64.42,-173.23,51.8,11.18
251,Vostok,94,RU,1567041633,84,46.45,135.83,60.53,2.95
252,Aswan,0,EG,1567041634,25,24.09,32.9,86.0,5.82
253,Kouango,19,CF,1567041635,95,4.99,19.98,68.81,1.7
254,Tessalit,12,ML,1567041637,34,20.2,1.01,91.49,11.1
255,Mattru,100,SL,1567041638,95,7.62,-11.83,74.03,3.65
256,Pangnirtung,85,CA,1567041639,62,66.15,-65.72,44.33,1.68
257,Saint Anthony,1,US,1567041640,14,43.97,-111.68,84.2,9.17
258,Kruisfontein,0,ZA,1567041641,75,-34.0,24.73,43.97,6.31
259,Erpeli,0,RU,1567041643,40,42.81,46.97,73.0,17.9
260,Erenhot,0,CN,1567041644,66,43.65,111.97,58.91,13.02
261,Havelock,40,US,1567041645,69,34.88,-76.9,82.4,8.05
262,Port-Cartier,20,CA,1567041647,63,50.03,-66.88,64.99,17.22
263,Alenquer,20,BR,1567041648,83,-1.95,-54.74,80.6,2.24
264,Xuanzhou,99,CN,1567041649,89,30.95,118.78,74.39,0.76
265,Mombetsu,75,JP,1567041650,100,44.35,143.35,64.4,4.7
266,Tias,0,ES,1567041652,83,28.96,-13.65,73.4,12.75
267,San Angelo,1,US,1567041645,43,31.46,-100.44,89.6,14.99
268,Sabratah,0,LY,1567041654,58,32.79,12.49,81.95,21.47
269,Aklavik,90,CA,1567041655,70,68.22,-135.01,42.8,4.7
270,Bethel,90,US,1567041612,66,60.79,-161.76,57.2,3.36
271,Druskininkai,1,LT,1567041658,99,54.02,23.98,68.0,9.28
272,Riyadh,0,SA,1567041659,27,24.63,46.72,86.0,2.24
273,Luderitz,0,NA,1567041660,66,-26.65,15.16,51.8,12.75
274,San Jose,1,HN,1567041661,28,14.25,-87.96,86.0,6.93
275,Berdigestyakh,76,RU,1567041662,87,62.1,126.7,54.95,4.61
276,Severo-Kurilsk,100,RU,1567041664,98,50.68,156.12,49.19,7.11
277,Verkhnyaya Inta,100,RU,1567041665,85,65.99,60.32,36.59,6.35
278,Jiwani,43,PK,1567041666,75,25.05,61.74,83.21,11.12
279,Tarut,5,SA,1567041668,79,26.57,50.06,91.4,4.7
280,Opotiki,12,NZ,1567041530,73,-38.01,177.29,57.99,7.0
281,Lubango,0,AO,1567041670,84,-14.92,13.49,58.55,1.36
282,Glendive,1,US,1567041671,28,47.11,-104.71,82.0,10.29
283,Isla Mujeres,20,MX,1567041672,78,21.23,-86.73,82.4,5.82
284,Petropavlovka,30,RU,1567041674,80,50.61,105.32,54.59,2.17
285,Vanimo,98,PG,1567041675,75,-2.67,141.3,81.05,3.76
286,Tevriz,87,RU,1567041676,93,57.51,72.4,44.33,5.32
287,Rampur,32,IN,1567041677,87,28.8,79.03,79.61,5.1
288,Mazagao,75,BR,1567041679,100,-0.12,-51.29,80.6,4.7
289,Esmeralda,100,CL,1567041680,85,-34.33,-70.9,58.55,3.36
290,Barpathar,40,IN,1567041681,91,26.3,93.87,76.01,0.58
291,Zhanaozen,0,KZ,1567041682,63,43.35,52.85,66.29,14.25
292,Avera,1,US,1567041684,94,33.19,-82.53,80.6,1.16
293,Nikolskoye,0,RU,1567041685,76,59.7,30.79,60.01,2.24
294,Salinopolis,33,BR,1567041686,80,-0.61,-47.36,81.05,18.79
295,Gigmoto,100,PH,1567041687,82,13.78,124.39,82.31,17.85
296,Skibbereen,20,IE,1567041689,93,51.55,-9.27,51.8,10.29
297,Zemio,11,CF,1567041690,80,5.02,25.13,65.39,1.54
298,Te Anau,100,NZ,1567041691,83,-45.41,167.72,39.83,8.21
299,Popondetta,96,PG,1567041693,88,-8.77,148.24,70.97,3.15
300,Manono,0,CD,1567041694,51,-7.3,27.4,73.49,2.24
301,Mandalgovi,0,MN,1567041695,52,45.76,106.27,59.27,3.31
302,Powell River,75,CA,1567041696,50,49.84,-124.52,86.0,6.93
303,Portland,90,US,1567041697,93,43.66,-70.25,64.4,6.93
304,Malangali,0,TZ,1567041699,66,-8.57,34.85,60.53,2.33
305,Harrismith,85,ZA,1567041700,93,-28.27,29.13,47.21,4.97
306,Jinchang,0,CN,1567041701,34,38.52,102.19,61.43,2.51
307,Kimbe,75,PG,1567041702,57,-5.56,150.15,89.51,1.61
308,Port-Gentil,85,GA,1567041704,85,-0.72,8.78,76.01,13.33
309,Nemuro,75,JP,1567041705,100,43.32,145.57,64.4,10.29
310,Arman,99,RU,1567041706,81,59.7,150.17,52.61,4.34
311,Loralai,56,PK,1567041495,56,30.37,68.6,74.03,1.99
312,Bon Air,90,US,1567041709,94,37.52,-77.56,72.0,3.67
313,Venado Tuerto,100,AR,1567041710,79,-33.75,-61.97,72.0,7.0
314,Matara,34,BI,1567041711,81,-3.48,29.48,52.97,0.6
315,Kantang,40,TH,1567041712,94,7.42,99.52,75.2,3.36
316,Norman Wells,75,CA,1567041714,71,65.28,-126.83,50.0,13.87
317,Tecoanapa,5,MX,1567041715,70,16.99,-99.26,87.8,5.82
318,Mayna,0,RU,1567041716,88,53.0,91.49,53.15,2.06
319,Deputatskiy,98,RU,1567041614,71,69.3,139.9,34.61,10.22
320,Roebourne,6,AU,1567041719,60,-20.77,117.15,70.79,6.93
321,Farmington,1,US,1567041720,7,36.73,-108.21,89.6,13.87
322,Bilibino,100,RU,1567041721,92,68.06,166.44,39.29,1.72
323,Sirsilla,100,IN,1567041722,85,18.39,78.81,72.41,4.88
324,Roswell,1,US,1567041724,40,33.39,-104.52,89.6,17.22
325,Mountain Home,1,US,1567041519,7,43.13,-115.69,96.8,8.05
326,Namie,75,JP,1567041726,83,37.52,140.86,79.0,4.7
327,Puri,100,ID,1567041727,72,-7.54,112.45,74.03,7.34
328,Rio Gallegos,0,AR,1567041729,60,-51.62,-69.22,39.2,24.16
329,Plainview,1,US,1567041730,61,34.18,-101.71,80.6,8.05
330,Ouargaye,100,BF,1567041731,96,11.5,0.06,72.41,2.46
331,Constitucion,75,MX,1567041732,43,23.99,-104.67,73.0,8.05
332,Tateyama,75,JP,1567041734,94,36.66,137.31,79.0,2.24
333,Kidal,43,ML,1567041735,62,18.44,1.41,83.39,10.87
334,Muana,39,BR,1567041736,86,-1.53,-49.22,76.91,5.12
335,Fowa,69,NG,1567041737,93,8.92,6.4,73.85,4.29
336,Emerald,75,AU,1567041739,49,-23.53,148.16,71.6,10.29
337,Oistins,20,BB,1567041740,78,13.07,-59.53,82.4,10.29
338,Mahuva,97,IN,1567041741,88,21.09,71.76,79.25,6.46
339,Atocha,5,AR,1567041742,64,-24.82,-65.48,75.2,4.7
340,Gizo,20,IL,1567041744,78,31.8,34.94,78.8,4.7
341,Hjelset,67,NO,1567041745,88,62.78,7.5,62.6,3.36
342,Ust-Tsilma,36,RU,1567041746,95,65.44,52.15,33.71,3.33
343,Boende,68,CD,1567041747,74,-0.28,20.88,75.11,2.08
344,Kutum,17,SD,1567041749,65,14.2,24.66,75.11,4.74
345,Fortuna,1,US,1567041750,77,40.6,-124.16,71.01,10.29
346,Nikolayevsk-na-amure,17,RU,1567041751,52,53.14,140.72,65.39,4.7
347,Victoria,75,BN,1567041571,65,5.28,115.24,82.4,8.05
348,Turukhansk,99,RU,1567041754,90,65.8,87.96,48.83,17.27
349,Penalva,12,BR,1567041755,70,-3.29,-45.17,77.45,2.84
350,Tolaga Bay,30,NZ,1567041756,35,-38.37,178.3,60.17,4.14
351,Husavik,68,CA,1567041757,50,50.56,-96.99,66.0,8.95
352,Hadrut,0,AZ,1567041758,56,39.52,47.03,65.39,4.09
353,Ust-Barguzin,32,RU,1567041760,83,53.41,109.03,55.67,0.56
354,Srednekolymsk,85,RU,1567041761,63,67.46,153.71,39.65,8.55
355,Tilichiki,100,RU,1567041762,89,60.47,166.1,51.17,2.24
356,Biloela,0,AU,1567041764,51,-24.4,150.51,68.99,7.49
357,Aripuana,95,BR,1567041765,45,-9.17,-60.63,82.49,1.95
358,Werda,0,BW,1567041766,19,-25.27,23.28,52.43,6.62
359,Kotka,0,FI,1567041767,93,60.47,26.95,57.2,6.93
360,La Ronge,90,CA,1567041768,93,55.1,-105.3,53.6,5.82
361,Sadat,9,YE,1567041770,62,14.53,44.17,70.25,3.4
362,Cabedelo,75,BR,1567041771,94,-6.97,-34.84,71.6,5.82
363,Hibbing,1,US,1567041746,58,47.43,-92.94,60.8,3.36
364,Pathein,60,MM,1567041773,88,16.78,94.73,77.99,2.06
365,Yumen,62,CN,1567041775,18,40.29,97.04,70.97,13.62
366,Nuristan,0,UZ,1567041776,40,38.49,65.64,69.8,4.7
367,Springfield,1,US,1567041627,57,37.22,-93.29,78.01,6.93
368,Opuwo,4,NA,1567041670,71,-18.06,13.84,52.79,2.57
369,Georgetown,20,GY,1567041666,78,6.8,-58.16,82.4,9.17
370,Sisophon,100,KH,1567041781,94,13.59,102.97,75.65,10.31
371,Sogne,84,NO,1567041782,100,58.08,7.82,64.99,2.24
372,Kerman,0,IR,1567041783,9,30.29,57.06,59.0,4.7
373,Lebu,75,ET,1567041784,87,8.96,38.73,55.4,11.41
374,Mattawa,75,CA,1567041785,100,46.32,-78.7,61.0,8.05
375,Los Llanos de Aridane,40,ES,1567041787,69,28.66,-17.92,73.4,12.75
